date,label,value
"2021-08-27 11:48:01",17100-PE,0.16
"2021-08-27 11:48:01",17150-CE,0.4
"2021-08-27 11:48:01",17150-PE,0.09
"2021-08-27 11:49:34",17100-CE,4.88
"2021-08-27 11:49:34",17100-PE,0.16
"2021-08-27 11:49:34",17150-CE,0.4
"2021-08-27 11:49:34",17150-PE,0.09
"2021-08-27 11:51:17",17100-CE,4.88
"2021-08-27 11:51:17",17100-PE,0.17
"2021-08-27 11:51:17",17150-CE,0.4
"2021-08-27 11:51:17",17150-PE,0.09
"2021-08-27 11:52:40",17100-CE,4.88
"2021-08-27 11:52:40",17100-PE,0.17
"2021-08-27 11:52:40",17150-CE,0.39
"2021-08-27 11:52:40",17150-PE,0.09
"2021-08-27 11:54:05",17100-CE,4.89
"2021-08-27 11:54:05",17100-PE,0.17
"2021-08-27 11:54:05",17150-CE,0.39
"2021-08-27 11:54:05",17150-PE,0.09
"2021-08-27 11:55:33",17100-CE,4.89
"2021-08-27 11:55:33",17100-PE,0.17
"2021-08-27 11:55:33",17150-CE,0.4
"2021-08-27 11:55:33",17150-PE,0.09
"2021-08-27 11:57:01",17100-CE,4.9
"2021-08-27 11:57:01",17100-PE,0.17
"2021-08-27 11:57:01",17150-CE,0.4
"2021-08-27 11:57:01",17150-PE,0.09
"2021-08-27 11:58:35",17100-CE,4.9
"2021-08-27 11:58:35",17100-PE,0.17
"2021-08-27 11:58:35",17150-CE,0.4
"2021-08-27 11:58:35",17150-PE,0.09
"2021-08-27 12:00:40",17100-CE,4.91
"2021-08-27 12:00:40",17100-PE,0.17
"2021-08-27 12:00:40",17150-CE,0.4
"2021-08-27 12:00:40",17150-PE,0.09
"2021-08-27 12:02:10",17100-CE,4.91
"2021-08-27 12:02:10",17100-PE,0.17
"2021-08-27 12:02:10",17150-CE,0.4
"2021-08-27 12:02:10",17150-PE,0.09
"2021-08-27 12:03:48",17100-CE,4.91
"2021-08-27 12:03:48",17100-PE,0.17
"2021-08-27 12:03:48",17150-CE,0.4
"2021-08-27 12:03:48",17150-PE,0.09
"2021-08-27 12:05:29",17100-CE,4.91
"2021-08-27 12:05:29",17100-PE,0.17
"2021-08-27 12:05:29",17150-CE,0.4
"2021-08-27 12:05:29",17150-PE,0.09
"2021-08-27 12:07:01",17100-CE,4.91
"2021-08-27 12:07:01",17100-PE,0.17
"2021-08-27 12:07:01",17150-CE,0.4
"2021-08-27 12:07:01",17150-PE,0.09
"2021-08-27 12:08:40",17100-CE,4.91
"2021-08-27 12:08:40",17100-PE,0.17
"2021-08-27 12:08:40",17150-CE,0.4
"2021-08-27 12:08:40",17150-PE,0.09
"2021-08-27 12:10:13",17100-CE,4.91
"2021-08-27 12:10:13",17100-PE,0.17
"2021-08-27 12:10:13",17150-CE,0.4
"2021-08-27 12:10:13",17150-PE,0.09
"2021-08-27 12:11:47",17100-CE,4.91
"2021-08-27 12:11:47",17100-PE,0.17
